name,rating,reviews,website,phone,address,chatbot_detected
torhaus - Your Dentists in Berlin,4.7,232,https://www.zahnarzt-torhaus.de/,030 959999400,"Robert-Koch-Platz 11, 10115 Berlin, Germany",Yes
Zahnarzt Berlin Kudamm - Dental21,4.8,839,https://www.dental21-kudamm.de/?utm_medium=directory&utm_source=google&utm_campaign=bookings_directory_google,030 81455310,"Kurfürstendamm 33, 10719 Berlin, Germany",No
Zahnarzt Charlottenburg - Dental21,4.9,956,https://www.dental21-charlottenburg.de/?utm_medium=directory&utm_source=google&utm_campaign=bookings_directory_google,030 8560940,"Wilmersdorfer Str. 112, 10627 Berlin, Germany",No
Die Praxis Mitte - Zahnarztpraxis Dr. Christina Erdmann & Dr. Anna Trojan,4.5,147,https://www.die-praxis.berlin/,030 40367600,"Hinterhaus, Münzstraße 5, 10178 Berlin, Germany",Yes
The Urban Dentist,4.3,325,https://theurbandentist.de/?utm_source=gmb&utm_medium=organic&utm_campaign=Google%20My%20Business,030 29770250,"Warschauer Str. 32, 10243 Berlin, Germany",Yes
AllDent Zahnzentrum Berlin,4.8,398,https://www.alldent-zahnzentrum-berlin.de/,030 587691110,"Friedrichstraße 94, 10117 Berlin, Germany",No
Haus Dentist,4.8,277,http://hausdentist.de/,01514 3364906,"Mehringdamm 48, 10961 Berlin, Germany",No
Dental 21 - Berlin Friedrichshain,4.8,720,https://www.dental21-friedrichshain.de/?utm_medium=directory&utm_source=google&utm_campaign=bookings_directory_google,030 83797905,"Eldenaer Str. 26, 10247 Berlin, Germany",No
Ku64,4.7,660,https://ku64.de/,030 8647320,"Kurfürstendamm 64, 10707 Berlin, Germany",Yes
Zahnarzt Berlin Schöneberg - Dental21 (ehemals Dentalzentrum Plus),4.9,521,https://www.dental21-schoeneberg.de/?utm_medium=directory&utm_source=google&utm_campaign=bookings_directory_google,030 280446680,"Potsdamer Str. 160, 10783 Berlin, Germany",No
F80 – Die Zahn- und Gesichtsspezialisten – Berlin-Mitte,4.9,312,https://f80.berlin/de/#gbp,030 436665501,"Friedrichstraße 80, 10117 Berlin, Germany",Yes
MEINDENTIST-Praxis Mitte,4.5,275,https://meindentist.de/berlin/mitte/?utm_source=google&utm_medium=gbp&utm_campaign=gbp_md_mitte,030 519999333,"Anklamer Str. 26, 10115 Berlin, Germany",Yes
Dr. medic stom. Roman Kogan,4.9,243,https://zahnarztpraxis-kogan.com/,030 4440978,"Schönhauser Allee 48, 10437 Berlin, Germany",No
MEINDENTIST-Praxis Prenzlauer Berg,4.6,443,https://meindentist.de/berlin/prenzlauer-berg/?utm_source=google&utm_medium=gbp&utm_campaign=gbp_md_prenzlauer_berg,030 40505757,"Kollwitzstraße 62, 10435 Berlin, Germany",Yes
Vegan Dentist - Berlin,5,132,http://www.vegandentist.de/,030 4250956,"Danziger Str. 5, 10435 Berlin, Germany",No
Triadent Berlin Mitte,4.2,262,https://www.triadent-mitte.de/,030 322952410,"Rosenthaler Str. 63 - 64, 10119 Berlin, Germany",Yes
MEINDENTIST-Praxis Kreuzberg,4.4,370,https://meindentist.de/berlin/kreuzberg/oranienstr/?utm_source=google&utm_medium=gbp&utm_campaign=gbp_md_kreuzberg,030 403613030,"Oranienstraße 158, 10969 Berlin, Germany",Yes
DENTALOGICUM - Zahnmedizin Berlin | Ihr Zahnarzt Friedrichshain - Lichtenberg,4.8,171,https://dentalogicum.de/,030 55241090,"Frankfurter Allee 69, 10247 Berlin, Germany",Yes
Zahnarzt Berlin Mitte | FAMDENTAL,4.9,137,https://zahnarzt-mitte.com/,030 23457373,"Weydingerstraße 18, 10178 Berlin, Germany",Yes
Milliondollar Smile by PP Royal,4.8,372,https://www.milliondollar-smile.de/,030 22474204,"Mall of Berlin, Leipziger Pl. 12, 10117 Berlin, Germany",No
