name,rating,reviews,website,phone,address,place_id
Dr. Gerold Thun,4.9,21,https://www.dr-thun.de/,02195 599450,"Kaiserstraße 178, 42477 Radevormwald, Germany",ChIJt7QN4AcuuUcR6A2lRb44nPc
Praxis im Breitenrain,4.2,25,http://www.praxisimbreitenrain.ch/,031 332 44 31,"Breitenrainstrasse 11, 3013 Bern, Switzerland",ChIJJelLSek5jkcRD6EH0WAM2Pw
Aarezentrum Thun,4.1,1023,http://www.aarezentrum-thun.ch/,,"Aarestrasse 30A, 3600 Thun, Switzerland",ChIJbczAkeeyj0cR_3bNOvZXlZ0
Fressnapf Dietikon,4.5,345,https://www.fressnapf.ch/de/stores/fressnapf-dietikon/,044 774 17 10,"Riedstrasse 5, 8953 Dietikon, Switzerland",ChIJj3m9IQkNkEcRumY67VKmODA
Neumarkt St. Gallen,4.3,2299,http://www.neumarkt.ch/,,"Vadianstrasse 29, 9000 St. Gallen, Switzerland",ChIJl3O5HEsem0cRom1bj60LCTI
Pharmacie Dr Hagendorf,4.5,33,https://www.allohomeo.ch/,026 321 40 00,"Bd de Pérolles 6, 1700 Fribourg, Switzerland",ChIJ14O3FCxpjkcRR9pZgbMKJRU
Dr. Nina Giebeler Zahnarztpraxis,4.7,26,https://horw-zahnarzt.ch/,041 340 69 69,"Gemeindehauspl. 6, 6048 Horw, Switzerland",ChIJowYXw0X6j0cR7OFAKh_Q-8k
Losane dental studio,4.6,32,http://dentaldb.ch/,021 311 73 87,"Av. de la Gare 17, 1003 Lausanne, Switzerland",ChIJ8fcMM8svjEcRv6OgoZIuk_o
Zahngesundheit am Kreuzplatz - Dr. med. dent. Elisabeth de Aragão Mohrmann,5,20,https://www.drmohrmann.ch/,043 818 58 28,"Klosbachstrasse 2, 8032 Zürich, Switzerland",ChIJ-bk_rkFLGAkRYbqp-kLksxw
pharmacieplus de la rosière,4.4,33,https://www.pharmacieplus.ch/pharmacies/de-la-rosiere/,032 724 41 44,"Rue des Parcs 84, 2000 Neuchâtel, Switzerland",ChIJc-wDkwkKjkcR19RqFzPJ3Fg
Pharmacie Marti | Vauseyon,4.4,34,https://vauseyon.pharmaciemarti.ch/,032 730 44 40,"Rue des Poudrières 137, 2000 Neuchâtel, Switzerland",ChIJjUgnc9LhjUcRhW5W17S_zRU
Coop Supermarkt Thun Rexmax,4.3,248,https://www.coop.ch/de/standorte/coop-supermarkt-thun-rexmax/5025_POS,033 225 39 50,"Gewerbestrasse 6, 3600 Thun, Switzerland",ChIJIXfgud2yj0cRa9d0x02TlXQ
Pharmacie Saba,4.1,40,http://pharmacie-saba.ch/,021 921 51 56,"Av. du Général-Guisan 15, 1800 Vevey, Switzerland",ChIJE7ypvdOcjkcRqmPwt1d7y74
Cabinet dentaire Grange-Canal,4.9,30,https://dentiste-gc.ch/,022 736 47 95,"Chem. de Grange-Canal 6, 1224 Chêne-Bougeries, Switzerland",ChIJj0owGlJljEcRj33eG_ylpF4
Müller,4.2,378,https://www.mueller.ch/meine-filiale/,031 532 03 16,"Marktgasse 52, 3011 Bern, Switzerland",ChIJD0k30sA5jkcR3jlTyk182xY
Pharmacie St-Victor SA,4.5,31,https://salveo.ch/pharmacie/pharmacie-saint-victor/,022 342 02 32,"Rue Saint-Victor 24, 1227 Carouge, Switzerland",ChIJNbF5Gdl6jEcRaG-VKh18oNo
Kieferorthopädie Sense AG | Dr. med. dent. J. van den Hoek,4,32,https://www.kieferorthopaede-duedingen.ch/?utm_source=organic&utm_id=gmb,026 493 33 00,"Bahnhofstrasse 5, 3186 Düdingen, Switzerland",ChIJM38CfWJrjkcRzmzxOnB-12g
OTTO'S St. Gallen,4.1,885,http://www.ottos.ch/,071 278 48 60,"Fürstenlandstrasse 122, 9014 St. Gallen, Switzerland",ChIJXc37xMHDB0ERXLMz4jGf1SE
Coop Vitality Apotheke St. Gallen Neumarkt,4.3,61,https://www.coopvitality.ch/de/3988,058 878 80 20,"Vadianstrasse 25, 9000 St. Gallen, Switzerland",ChIJ51iCA0sem0cRV3utuS7sOFo
Migros-Supermarkt - St. Gallen - Neudorf,4.2,328,https://filialen.migros.ch/de/migros-supermarkt-st-gallen-neudorf,058 712 57 00,"Rorschacher Str. 249, 9016 St. Gallen, Switzerland",ChIJa04EtIwem0cRZW_G-OOE9zo
Familien Zahnarzt,5,21,http://familien-zahnarzt.com/,071 793 32 93,"Dorfstrasse 24, 9055 Bühler, Switzerland",ChIJZbuma_khm0cRbOAyx-s2cHc
Domino's Pizza Dietikon,3.9,638,https://www.dominos.ch/,058 590 42 42,"Rapidpl. 5, 8953 Dietikon, Switzerland",ChIJtRhB8awNkEcRycS4hM1OGF0
Unterstadt-Apotheke GmbH,3.9,27,http://www.unterstadtapotheke.ch/,052 625 11 44,"Unterstadt 2, 8200 Schaffhausen, Switzerland",ChIJi52t-N-BmkcRvwEHk-C8_0M
Apotheke Herblingermarkt,4.2,50,https://achillea.ch/standorte/apotheke-herblingermarkt?utm_source=own&utm_medium=uberall,052 640 20 20,"Stüdliackerstrasse, Herblinger Markt 10, 8207 Schaffhausen, Switzerland",ChIJk2b9HDGAmkcR1cEajIYzeuU
Ortotecnica SA,4.3,31,http://www.ortotecnica.ch/,091 922 69 29,"Viale Cassarate 1, 6900 Lugano, Switzerland",ChIJu182YfMthEcRN33Jgo6UlHE
