name,rating,reviews,website,phone,address,email,chatbot_detected,qualified
torhaus - Your Dentists in Berlin,4.7,232,https://www.zahnarzt-torhaus.de/,030 959999400,"Robert-Koch-Platz 11, 10115 Berlin, Germany",,Yes,No
Zahnarzt Berlin Kudamm - Dental21,4.8,839,https://www.dental21-kudamm.de/?utm_medium=directory&utm_source=google&utm_campaign=bookings_directory_google,030 81455310,"Kurfürstendamm 33, 10719 Berlin, Germany",flag-icons@7.5.0,No,YES
Zahnarzt Charlottenburg - Dental21,4.9,956,https://www.dental21-charlottenburg.de/?utm_medium=directory&utm_source=google&utm_campaign=bookings_directory_google,030 8560940,"Wilmersdorfer Str. 112, 10627 Berlin, Germany",flag-icons@7.5.0,No,YES
Die Praxis Mitte - Zahnarztpraxis Dr. Christina Erdmann & Dr. Anna Trojan,4.5,147,https://www.die-praxis.berlin/,030 40367600,"Hinterhaus, Münzstraße 5, 10178 Berlin, Germany",mail@die-praxis.berlin,Yes,No
The Urban Dentist,4.3,325,https://theurbandentist.de/?utm_source=gmb&utm_medium=organic&utm_campaign=Google%20My%20Business,030 29770250,"Warschauer Str. 32, 10243 Berlin, Germany",info@theurbandentist.de,Yes,No
AllDent Zahnzentrum Berlin,4.8,398,https://www.alldent-zahnzentrum-berlin.de/,030 587691110,"Friedrichstraße 94, 10117 Berlin, Germany",,No,No
Haus Dentist,4.8,277,http://hausdentist.de/,01514 3364906,"Mehringdamm 48, 10961 Berlin, Germany",user@domain.com.,No,YES
Dental 21 - Berlin Friedrichshain,4.8,720,https://www.dental21-friedrichshain.de/?utm_medium=directory&utm_source=google&utm_campaign=bookings_directory_google,030 83797905,"Eldenaer Str. 26, 10247 Berlin, Germany",flag-icons@7.5.0,No,YES
Ku64,4.7,660,https://ku64.de/,030 8647320,"Kurfürstendamm 64, 10707 Berlin, Germany",info@ku64.de,Yes,No
Zahnarzt Berlin Schöneberg - Dental21 (ehemals Dentalzentrum Plus),4.9,521,https://www.dental21-schoeneberg.de/?utm_medium=directory&utm_source=google&utm_campaign=bookings_directory_google,030 280446680,"Potsdamer Str. 160, 10783 Berlin, Germany",flag-icons@7.5.0,No,YES
F80 – Die Zahn- und Gesichtsspezialisten – Berlin-Mitte,4.9,312,https://f80.berlin/de/#gbp,030 436665501,"Friedrichstraße 80, 10117 Berlin, Germany",willkommen@f80.berlin,Yes,No
MEINDENTIST-Praxis Mitte,4.5,275,https://meindentist.de/berlin/mitte/?utm_source=google&utm_medium=gbp&utm_campaign=gbp_md_mitte,030 519999333,"Anklamer Str. 26, 10115 Berlin, Germany",praxis-anklamer@meindentist.de,Yes,No
Dr. medic stom. Roman Kogan,4.9,243,https://zahnarztpraxis-kogan.com/,030 4440978,"Schönhauser Allee 48, 10437 Berlin, Germany",info@kogan-berlin.de,No,YES
